,t_start,t_end,t_space_start,t_space_end
1,1,390,353315844.996973,353335344.996973
2,394,396,353335494.996973,353335644.996973
3,402,405,353335894.996973,353336094.996973
4,421,422,353336844.996973,353336944.996973
5,682,692,353349894.996973,353350444.996973
6,830,914,353357294.996973,353361544.996973
7,924,924,353361994.996973,353362044.996973
8,1003,1037,353365944.996973,353367694.996973
9,1089,1090,353370244.996973,353370344.996973
10,1254,1261,353378494.996973,353378894.996973
11,1374,1374,353384494.996973,353384544.996973
12,1560,1578,353393794.996973,353394744.996973
